requirement,status,evidence,missing_or_risk,next_action
corrected_gsw_strict_12scene_coverage,incomplete_pending_gpt_approval,GSW_STRICT_12SCENE_RESULTS.csv has 3 success rows and 9 non-success/pending rows.,9 corrected GS-W strict 30k single-run scenes have not been executed.,"After GPT approval, run strict_12scene_runner.py with GPT_APPROVED_12SCENE_GSW_30K=1, then regenerate reports."
one_designated_run_per_scene_registry,complete_for_current_registry,GSW_12SCENE_RUN_REGISTRY.csv has exactly one designated_run_id per scene.,"Pending scenes are command-plan rows, not measured runs.",Use the same designated IDs when GPT approves execution.
gsw_training_code_freeze,complete,GSW_12SCENE_CODE_FREEZE_AUDIT.md reports PASS against gsw-strict-baseline-v2 and gsw-strict-12scene-v1 for training paths.,,Keep training behavior frozen; only tools/reports may change before execution.
unified_full_image_evaluator,tool_ready_not_full_12scene_executed,tools/baseline_completion/unified_full_image_eval.py is included and py_compile-tested.,It has not yet evaluated 9 missing corrected GS-W runs because renders do not exist.,Run via strict_12scene_runner.py after training/rendering completes.
official_12scene_protocol_audit,complete_for_existing_results,"OFFICIAL_12SCENE_PROTOCOL_AUDIT.csv classes: A=3, B=9, C=0, D=0, E=0.",B scenes remain provenance-incomplete and cannot enter verified strict main comparison.,Do not rerun official in this round; list B scenes as provisional only.
gsw_vs_official_12scene_descriptive_comparison,partial,GSW_VS_OFFICIAL_VERIFIED_COMPARISON.csv covers 3 verified common scenes.,No verified 12-scene comparison exists until GS-W pending scenes are run and official B scenes are either verified or kept provisional.,Regenerate after GPT-approved GS-W runs.
external_baseline_fairness_matrix,complete_initial_audit,"EXTERNAL_BASELINE_FAIRNESS_MATRIX.csv classifies GS-W legacy, corrected GS-W, Splatfacto-W, Luminance-GS and WildGaussians.",Luminance-GS and WildGaussians remain unresolved/invalid until bounded diagnostics are executed.,Use current matrix for table revision; do not rank unresolved rows in strict table.
splatfacto_w_special_audit,complete_for_current_historical_results,SPLATFACTO_W_PROTOCOL_AUDIT.md records right-half/transductive protocol evidence.,"No strict full-image Splatfacto-W rerun was performed, by instruction.",Move current Splatfacto-W results to secondary transductive table.
luminance_gs_bounded_diagnostics,not_executed,LUMINANCE_GS_FAILURE_DIAGNOSIS.csv summarizes historical failures only.,No new reader/train/render smoke has been executed for a success scene or failed scenes in this package.,"After GPT approval, run bounded diagnostics only; do not launch 30k Luminance-GS reruns."
wildgaussians_bounded_diagnostics,partial_static_image_stats_only,WILDGAUSSIANS_DIAGNOSTIC_RESULTS.csv contains sampled render statistics from historical audit images.,"No official sample validation, camera/normalization smoke or two-scene adapter diagnostic has been executed.","After GPT approval, run two bounded wrapper diagnostics before considering any full rerun."
forbidden_changes,complete,"Only tools/baseline_completion and reports/baseline_completion were added; training methods, networks, losses and densification were not modified in this round.",,Continue to keep baseline method source frozen.
